time_days,p_at_well_Pa,p_above_well_Pa,uz_surface_above_well_m,p_surface_500m_offset_Pa,picard_iters
1.0000,2.781557e4,0.000000e0,-4.513069e-6,0.000000e0,12
2.0000,3.660394e4,0.000000e0,-8.994938e-6,0.000000e0,11
3.0000,4.061326e4,0.000000e0,-1.339666e-5,0.000000e0,11
4.0000,4.291793e4,0.000000e0,-1.767660e-5,0.000000e0,11
5.0000,4.444063e4,0.000000e0,-2.180349e-5,0.000000e0,11
6.0000,4.553871e4,0.000000e0,-2.575793e-5,0.000000e0,11
7.0000,4.637845e4,0.000000e0,-2.953132e-5,0.000000e0,11
8.0000,4.704802e4,0.000000e0,-3.312350e-5,0.000000e0,11
9.0000,4.759885e4,0.000000e0,-3.654014e-5,0.000000e0,11
10.0000,4.806317e4,0.000000e0,-3.979057e-5,0.000000e0,11
